"","origin_ID","news_headlines","anger","disgust","fear","joy","sadness","surprise"
"71","570","Brown not buried as estate issues loom",6,17,0,0,41,23
"72","571","Will Rob Cohen Direct Third 'Mummy'?",0,0,0,32,0,35
"73","572","EU will urge China to go green",8,0,5,34,3,12
"74","573","17th-Century Remedy; 21st-Century Potency",0,0,0,0,0,14
"75","574","Forecasters expect toasty 2007",13,0,33,20,23,16
"76","575","'Sunshine' Goydos wins Sony open",0,0,0,75,0,10
"77","576","Teacher charged with sex assault",52,87,18,0,23,25
"78","577","Merck: Gardasil may fight more strains",9,0,19,21,14,16
"79","578","Mountain glaciers melting faster, United Nations says",15,10,49,0,41,12
"80","579","Snow causes airport closures in Britain",6,0,17,0,22,13
"81","580","Bananaconda inventor is top poet of kids",0,0,0,63,0,24
"82","581","Shareholders sue Apple",49,0,0,0,14,15
"83","582","Israelis retaliate after attack by Lebanese Army",48,13,53,0,40,0
"84","583","Deadly bird flu confirmed in British Turkeys",2,1,70,0,36,24
"85","584","Too little sleep may mean too fat kids",0,12,7,0,21,57
"86","585","Bathing mom awakes to find baby dead",2,0,32,0,93,46
"87","586","Visitors to Eiffel Tower climb to record in 2006",0,0,0,43,0,40
"88","587","More sleep, healthier slimmer children ",0,0,0,47,0,56
"89","588","Queen battles Bond for Baftas",2,0,11,30,2,16
"90","589","Walters on Trump: 'Poor, pathetic man'",23,25,0,0,28,12
"91","590","Ice storm smacks roads, power",7,10,75,0,29,2
"92","591","Iran says it will strike US interests if Attacked",52,13,67,0,22,22
"93","592","Palestinian factions to resume talks",0,0,0,41,2,26
"94","593","Study: men's sweat triggers high sexual arousal in women",0,2,0,8,0,73
"95","594","Outcry at N Korea 'nuclear test'",37,2,56,0,11,6
"96","595","Russia plans major military build-up",27,15,75,17,22,22
"97","596","Archaeologists find remains of couple locked in a hug",0,0,0,43,16,79
"98","597","Stenson defends his title at Dubai",0,0,0,45,0,8
"99","598","Taking the plunge",0,0,9,0,3,2
"100","599","Updates on world's top stories",0,0,0,14,0,2
"101","600","Man rides stationary bike for 85 hours",0,0,0,18,0,87
"102","601","Ice storm coating Midwest",14,2,51,0,25,23
"103","602","A Mistrial for Lieut. Watada",15,15,0,0,0,15
"104","603","Iran warns will hit back at US if attacked",58,13,59,0,23,10
"105","604","ASEAN talks end on energy-security",0,0,0,11,4,0
"106","605","Iraqi death toll exceeded 34,000 in 2006, United Nations says",27,17,33,0,96,22
"107","606","Israel intensifies military flights over Lebanon",29,15,60,0,40,8
"108","607","New gadgets galore at tech show",0,0,0,43,0,27
"109","608","Another death at Georgia Aquarium",0,0,17,0,79,6
"110","609","US to urge Nato Afghan spring offensive",42,14,54,0,33,0
"111","610","UK letter bombs may be from extremist drivers",44,8,78,0,38,8
"112","611","Asia seeks breakthrough on North Korea",17,0,14,13,0,22
"113","612","Federer overcomes a ragged start",0,0,0,47,2,5
"114","613","Rowdy fans ejected from the Open",21,17,4,5,17,4
"115","614","Terai protesters hail 'historic' victory over government",28,0,3,36,0,26
"116","615","Anger at release of two held over beheading plot",70,25,18,0,22,10
"117","616","Bush adamant on troops to Iraq",58,16,20,0,35,0
"118","617","Bebe Neuwirth gets to 'wiggle again'",5,0,0,43,0,24
"119","618","Beckham to L.A.: For the game not fame",0,0,0,20,0,16
"120","619","Sleep more to fight childhood obesity",0,2,12,8,0,26
"121","620","Abbas rejects temporary state",26,9,11,2,31,18
"122","621","Investigation of child porn site hits 77 nations",54,73,8,4,39,17
"123","622","Sleuths close in on Odysseus home",0,0,3,23,2,26
"124","623","Variety: Johnny Depp to make movie of spy poisoning",0,2,8,13,4,19
"125","624","Ice storm cripples central U.S.",23,4,46,0,44,14
"126","625","Park stars as United maintain lead",0,0,0,43,0,9
"127","626","Prehistoric Romeo and Juliet discovered",5,0,0,62,16,72
"128","627","India's famous landmark gets facelift",0,0,0,50,0,26
"129","628","Joseph Wambaugh's new start",0,0,0,33,0,1
"130","629","Participant in water-drinking contest dies",1,0,3,0,94,30
"131","630","Apple drops bombshell with iPhone",0,0,7,37,11,38
"132","631","Bollywood's 'Brangelina' engaged",0,0,0,71,1,24
"133","632","Shiite fighters arrested in crackdown, Iraq says",34,16,44,27,30,17
"134","633","Rio De Janeiro journal: drawing lines across the sand, between classes",16,14,2,2,26,4
"135","634","Models' health guidelines -- will they help?",0,0,7,11,6,24
"136","635","Stepping back in time at ski resort",0,0,0,33,1,17
"137","636","Test cricketer jailed over killing",32,14,22,8,37,8
"138","637","Walnuts 'combat unhealthy fats'",0,4,1,37,11,35
"139","638","Apple to Vista upgraders: 'Wait'",0,0,0,1,13,22
"140","639","Injured Sarwan to miss one-dayers",7,4,2,0,50,8
"141","640","Firms on alert for letter bombs",17,9,71,0,16,16
"142","641","Studios sign off on movie downloads",3,0,5,6,11,16
"143","642","Asif returns with four-wicket haul",0,0,0,43,0,12
"144","643","Bush authorized Iranians' arrest in Iraq, Rice says",47,33,19,0,38,17
"145","644","Porn ring scandal reaches Australia",46,60,6,0,43,20
"146","645","Deputy health minister arrested in US-Iraqi raid",16,8,17,0,58,19
"147","646","Senator Carl Krueger thinks iPods can kill you",6,0,33,0,25,51
"148","647","Finally, Senate okays anti-terror bill Manila",3,0,17,42,12,4
"149","648","Somalia declares state of emergency",10,0,80,0,29,31
"150","649","Matt shines with his Alpine finish",0,0,0,72,0,3
"151","650","BP CEO Browne to step down in June",6,3,0,13,37,7
"152","651","An iPhone by any other name? Surely not",0,3,0,13,0,33
"153","652","Life in Gaza steadily worsens",17,13,53,0,70,0
"154","653","The energy challenge | Exotic visions: how to cool a planet (maybe)",5,3,26,18,17,36
"155","654","Easy ways to (really) save $400,000",0,0,0,45,0,31
"156","655","Shareholders sue Apple",32,6,0,0,20,10
"157","656","Findings: Can humanity survive? Want to bet on it?",1,0,42,1,10,27
"158","657","Iran steps up production of weapons-grade uranium",28,10,79,0,27,23
"159","658","Rig-threat cargo ship towed ashore",0,0,37,10,19,11
"160","659","Palestinians say clashes hurt their cause",32,2,26,0,46,8
"161","660","Male sweat can raise hormones",0,7,0,8,0,62
"162","661","Vital Signs: Hazards: Antidepressant linked to fractures in older people",5,0,26,0,34,55
"163","662","Peron held over '70s rights abuses",31,25,8,13,45,8
"164","663","Space life search turns to TV",0,0,0,18,0,33
"165","664","Super Bowl ads of cartoonish violence, perhaps reflecting toll of war",16,15,25,15,45,27
"166","665","YouTube told to drop celeb sex video",7,23,9,14,15,24
"167","666","Beckham and Posh and more athlete-celebrity couples",0,0,0,38,0,0
"168","667","City sets up ice storm shelters",4,0,55,24,17,3
"169","668","Libby prosecutors await judge's rulings",0,0,16,0,19,1
"170","669","Review: 'Alpha Dog' misses the point",0,3,0,0,17,4
"171","670","Republicans plan to block Iraq debate",60,17,0,0,37,7
"172","671","Mixed reaction to China's Africa push",10,2,6,0,2,24
"173","672","Snowed in the Canadian Rockies",0,0,8,21,11,6
"174","673","Skip the showers: male sweat turns women on, study says",0,12,0,12,0,69
"175","674","Gently Weeps' lyrics sheet up for sale",0,0,1,44,8,15
"176","675","Canete wins inaugural Joburg Open",0,0,0,70,0,7
"177","676","Rights group halts violent Nepal strikes",25,5,36,46,22,11
"178","677","Real suffer Carlos injury setback",4,0,7,0,47,13
"179","678","Astronaut may have buckled under stress",0,0,21,0,43,21
"180","679","Gunmen abduct Filipino woman in Nigeria",32,15,58,0,51,16
"181","680","NFL team's fan of the year: 'Flag Lady'",0,0,0,50,0,21
"182","681","No 10 rejects police state claim",11,0,3,0,11,22
"183","682","Malaysian AirAsia X to fly in July",0,0,0,39,0,14
"184","683","10 kidnapped at Nigeria oil base",19,7,69,0,46,8
"185","684","Guy sweat is babe magnet",0,6,0,29,0,69
"186","685","Township tourism booming in South Africa",0,0,0,82,0,32
"187","686","'Alpha Dog' misses the point",0,3,0,0,17,18
"188","687","Iran leader pays Nicaragua a visit",3,1,13,20,14,26
"189","688","'Grey's,' 'Pirates' lead People's Choice",0,0,0,38,0,6
"190","689","Terror network",9,0,87,0,17,0
"191","690","Now it's official: Iraq's a mess",27,39,23,2,62,19
"192","691","Snow brings travel misery to England",3,5,28,3,63,11
"193","692","James Brown's 5-year-old son left out of will",7,1,16,0,33,46
"194","693","Two men killed by London tube train",6,5,41,0,79,20
"195","694","US millions fail to buy influence in deadly Gaza power play",18,18,23,6,43,13
"196","695","PLO ministers agreed upon in Mecca",0,0,8,37,0,12
"197","696","Squadron apologies over 'friendly-fire' death",13,35,26,0,49,13
"198","697","New Orleans violence sparks tourism fears",23,0,75,0,32,8
"199","698","Friendly fire pilot 'experienced'",3,7,32,0,14,26
"200","699","SPACE.com: Black hole triplets spotted",0,0,5,4,0,62
"201","700","Vaccines: Mandate or choice?",0,0,5,1,1,6
"202","701","Congolese soldiers riot, loot over pay issue",55,17,46,0,43,0
"203","702","Commodities lead Europe higher",0,0,0,64,0,16
"204","703","Ingredient in male sweat raises women's hormone levels",0,12,0,17,0,54
"205","704","Goetschl ends Austrian win drought",0,0,0,56,0,6
"206","705","Doomsday Clock ticking away",0,0,43,19,16,0
"207","706","Troops massing around Somali town",22,0,88,0,27,0
"208","707","Tariq Ramadan has an identity issue",0,0,2,0,2,32
"209","708","Peretz orders IDF to respond with force to north border attacks",52,7,50,0,27,9
"210","709","Trains crash near Thai resort town",2,0,62,0,90,10
"211","710","Hamas, Fatah return to unity gov't talks in Mecca",2,0,4,37,6,25
"212","711","Pats' fourth-quarter rally finishes Chargers",0,0,0,35,5,6
"213","712","7 Die As US Helicopter Crashes in Iraq",12,4,41,0,94,4
"214","713","Millionaire secret Santa dies",0,0,0,2,75,14
"215","714","Morrissey may cheer up Eurovision",0,0,2,61,0,10
"216","715","Christian values guide Dungy and the Colts",0,0,0,27,0,13
"217","716","Israeli woman's tirade spurs PM outrage",71,29,13,0,13,2
"218","717","Passing exchange becomes political flashpoint",4,0,4,0,3,0
"219","718","Police probe 2 church fires half mile apart",0,2,48,0,50,6
"220","719","Italy to try US soldier for agent's Iraq death",64,7,2,8,38,10
"221","720","Depp to star in spy poisoning film",0,0,10,35,10,19
"222","721","'24's' Jack Bauer returns",0,0,0,40,0,3
"223","722","US Airways boosts bid for Delta",0,0,0,5,5,40
"224","723","Even before its release, world climate report is criticized as too optimistic",28,17,33,0,22,15
"225","724","Second hanging also went awry, Iraq tape shows",19,38,27,0,54,5
"226","725","Howell takes one shot lead in Sony Open",0,0,0,47,0,8
"227","726","Psych checks reviewed after astronaut's crack-up",2,0,17,2,44,31
"228","727","Pap Test, a mainstay against cervical cancer, may be fading",3,0,35,12,36,45
"229","728","Martins leads Newcastle fightback",4,0,0,29,1,6
"230","729","PS3 pricey but impressive",0,1,0,44,0,12
"231","730","Pluto's revenge: 'Word of the Year' award",4,1,3,49,3,4
"232","731","European Space Agency",0,0,0,2,0,0
"233","732","Hackers strike at key Internet servers",38,23,36,0,18,22
"234","733","Hussein co-defendants executed",13,19,23,5,62,2
"235","734","Memo from Frankfurt: Germany relives 1970s terror as 2 seek release from jail",35,15,76,0,33,5
"236","735","Blissing out in Ojai",0,0,0,63,0,0
"237","736","Houston, she's got some problems",0,0,8,0,33,15
"238","737","Amazon.com has 'best ever' sales",0,0,0,82,0,18
"239","738","Hackers attack root servers",53,26,36,0,16,19
"240","739","Video games can improve your vision",0,0,1,42,0,51
"241","740","Internet attacked! (Did anyone notice?)",11,17,35,0,7,54
"242","741","In Washington, contractors take on biggest role ever",0,1,0,25,0,29
"243","742","Floods force Malaysia evacuations",5,1,77,0,79,3
"244","743","On MySpace, girls seek friends, boys flirt",0,20,4,12,1,25
"245","744","Tests of drug to block H.I.V. infection are halted over safety",11,2,48,7,39,31
"246","745","Zoo polar bear to have root canal",0,0,17,10,26,26
"247","746","Europe take big Royal Trophy lead",0,0,0,55,0,12
"248","747","Israel to install cameras to show live Mughrabi footage",1,4,8,23,12,17
"249","748","'We lit our last candle yesterday'",2,0,10,0,32,0
"250","749","Google buys YouTube for $1.65bn",0,0,0,13,0,43
"251","750","PSP number one Sony platform in Japan",0,0,0,32,0,15
"252","751","England include Giles in WC squad",0,0,0,21,0,1
"253","752","Beckham 'won't play again for Real'",0,7,0,0,29,18
"254","753","Eight years for Damilola killers",38,23,29,35,43,3
"255","754","PC World editor slain at California home",14,10,51,0,77,4
"256","755","Hands on 'Doomsday Clock' move forward",12,7,36,17,20,10
"257","756","Zach Braff says he has 'mild depression'",0,0,3,0,32,8
"258","757","Investigation of child porn site hits 77 nations USA Today",46,58,28,0,47,32
"259","758","Science panel calls global warming unequivocal",18,0,48,17,45,6
"260","759","News Baby pandas! Baby pandas! Baby pandas!",0,0,3,70,2,29
"261","760","Get ready for the earnings",0,0,0,59,0,0
"262","761","Germany agonizes over a brain drain",9,0,17,0,51,2
"263","762","Iran and Nicaraguan leaders meet",3,2,17,22,10,12
"264","763","Secret hotels in Irish countryside",0,0,2,3,0,43
"265","764","Fine wines in British Columbia",0,0,0,19,0,3
"266","765","Philippine president welcomes Senate approval of anti-terror bill ",2,0,10,54,4,3
"267","766","Small jet crashes on takeoff, killing 2",1,0,52,0,94,3
"268","767","Bigger, more aggressive rats infesting UK",4,54,56,0,9,8
"269","768","Travel+Leisure: Next island hot spot: St. Lucia",0,0,0,57,0,0
"270","769","Real Mallorca rock leaders Sevilla",0,0,0,32,0,0
"271","770","Iran's boast on uranium enrichment is put to test",8,5,62,0,3,18
"272","771","Personal health: for teenagers, the car is the danger zone",0,2,47,0,21,27
"273","772","Bird watchers flock to see rare owl",0,0,0,49,0,37
"274","773","Eye on cosmos is lost to short circuit on hubble",2,0,4,1,59,8
"275","774","Too young for this: facing cancer under 40",19,0,39,0,80,22
"276","775","Unilever group names new chairman",0,0,2,29,0,6
"277","776","Minister slams airlines on carbon",31,5,6,0,7,0
"278","777","Rare optimism as North Korea talks reach crossroads",2,3,5,52,29,4
"279","778","Man beheaded in southern Thailand",4,23,47,0,88,9
"280","779","China's 'nightmare scenario'",0,0,65,0,0,16
"281","780","Annual diving contest in South Korea proves a chilly challenge",0,0,10,2,0,17
"282","781","Blair says he regrets delays in British soldier's inquest",3,5,1,10,47,0
"283","782","Iraqi forces detain official suspected in Shia conspiracy",38,3,39,31,2,7
"284","783","Wellcome awards anti-fat research",2,2,2,49,0,13
"285","784","Fingers crossed for North Korea",1,1,8,13,6,5
"286","785","No intention of war with Iran, US says",4,3,9,30,1,7
"287","786","What Newsom faces in aftermath of scandal",10,13,20,0,10,2
"288","787","Maggie Gyllenhaal's Globes babysitter: Mom",0,0,0,33,0,4
"289","788","As inflation soars, Zimbabwe economy plunges",8,7,12,0,58,0
"290","789","Pledge: I was abused in frat hazing",22,48,27,0,34,0
"291","790","Experts: Fear likely shackled boy",0,0,57,0,26,13
"292","791","What's behind the chopper crashes in Iraq",9,0,51,0,38,8
"293","792","Freed Muslim terror suspect says Britain is ""police state""",17,21,61,0,12,0
"294","793","Blair apologises over friendly fire inquest",6,1,12,12,43,4
"295","794","Depp 'to make Litvinenko movie'",0,1,3,36,1,6
"296","795","Why gas follows oil up but not down",7,7,5,0,6,32
"297","796","'Cravings' still there, sez Tara",0,0,0,17,8,5
"298","797","Bill would strip convicted legislators of pensions",26,4,4,2,27,6
"299","798","Bears watch as lead slips away",0,4,0,0,36,0
"300","799","In clue to addiction, brain injury halts smoking",0,0,11,4,15,47
"301","800","In rigorous test, talk therapy works for panic disorder",0,0,26,55,4,34
"302","801","Rice: U.S. won't pull plug on Iraq",8,3,0,16,7,4
"303","802","On road to Kosovo independence, a warning: go slow",9,0,32,2,9,1
"304","803","Mistrial for officer who refused to go to Iraq",21,4,13,9,27,6
"305","804","Rebels to join Nepal parliament",24,0,15,20,0,38
"306","805","EMI warns on profits, boss goes",5,2,20,0,17,6
"307","806","Subway collapse caught on camera",0,0,48,0,54,23
"308","807","Stinky but true: men's sweat is made for love",0,18,2,22,0,57
"309","808","POLITICS-US: reprieve for officer who denounced ""Immoral War""",12,14,13,31,28,13
"310","809","Hunters stalk world's tallest trees",14,0,10,14,30,10
"311","810","Fuel spill may lead to missing jet",4,0,47,7,34,12
"312","811","Sri Lanka floods displace 60,000",14,0,39,0,80,3
"313","812","Justin Timberlake, Cameron Diaz announce split",0,0,12,0,76,9
"314","813","Iran to hit US interests if attacked",42,3,54,0,22,7
"315","814","Israel says hopes to keep Lebanon border calm",10,4,20,39,4,15
"316","815","Cisco sues Apple over iPhone name",48,8,10,0,11,19
"317","816","Two Palestinians killed near fence",20,7,38,0,87,3
"318","817","EarthLink CEO dies at age 49",0,0,13,0,88,17
"319","818","A star dies, a family feud is born",12,20,15,18,62,4
"320","819","Carter was a disaster, said Ford",40,25,0,0,36,19
"321","820","Super Bowl MVP Manning insists he's one of the guys",0,0,0,9,0,6
"322","821","Personal health: the importance of knowing what the doctor is talking about",0,0,14,0,9,6
"323","822","Israel's Peretz urges halt to contentious Jerusalem construction",34,7,19,0,24,16
"324","823","Peter Jackson will never work for me again",38,22,0,0,31,9
"325","824","U.S. keeps Iran options open",11,8,19,28,4,9
"326","825","European shares hit fresh highs",0,0,5,59,0,15
"327","826","For women, nothing's like the smell of men's sweat",0,19,0,8,0,63
"328","827","Looking beyond the iPhone",0,0,4,11,0,14
"329","828","Freed kidnap suspect: my terror at police raid",28,0,78,8,17,15
"330","829","Far away, Super Bowl's losers will be champs",0,0,0,56,15,3
"331","830","Woman dies after water binge",9,3,21,0,92,36
"332","831","Mancuso sparks U.S. celebrations",0,0,0,72,0,17
"333","832","ASEAN urges North Korea resolution",5,0,17,13,0,9
"334","833","Late penalty costs Roma the points",2,0,7,0,27,12
"335","834","Mistrial declared in teacher-student rape case",34,46,15,0,47,33
"336","835","'Bookworm Adventures' wordsmith's joy",0,0,0,76,0,5
"337","836","Kylie's love split",3,0,6,5,56,3
"338","837","iPod good for video games",0,0,0,37,0,18
"339","838","Review: virtual 'American Idol' hits right notes",0,0,0,38,0,17
"340","839","Leo battles himself",0,0,6,27,4,19
"341","840","Attorneys point fingers in fight between Ryan O'Neal and son",46,15,24,0,27,4
"342","841","John Grisham set for court drama",14,5,21,0,18,20
"343","842","Bill Gates and Craig Mundie: vista is Secure, employees are not",8,0,9,0,9,22
"344","843","Iraqis fault delayed U.S. plan in attack",34,19,29,2,17,24
"345","844","Boy Scouts blamed for starting wildfire",30,7,40,0,17,18
"346","845","China urges UN action on N Korea",26,3,31,0,0,12
"347","846","Scorpion on a plane, a pantful of pain",6,2,49,0,13,14
"348","847","Male sweat boosts women's hormone levels",0,11,0,17,0,54
"349","848","Mbeki on the big visit from the Chinese",0,0,3,18,0,19
"350","849","French right nominates Sarkozy",0,0,13,25,5,7
"351","850","Israeli, Lebanese clash on border",38,10,49,0,26,4
"352","851","North Korea claims nuclear test",29,3,63,0,19,24
"353","852","Talks begin on Somalia peacekeepers",7,1,12,57,12,14
"354","853","Action games improve eyesight",0,0,0,33,0,47
"355","854","A small part of the brain, and its profound effects",0,0,12,1,6,24
"356","855","IDF shells Lebanese Army positions across northern border",17,11,53,0,23,4
"357","856","Thailand: missing 25 years after taking wrong bus",5,0,11,0,48,40
"358","857","Ballerina sparks anti-fascist row",34,17,31,17,16,24
"359","858","Internet boom in China is built on virtual fun",0,0,4,63,0,32
"360","859","Review: PS3 pricey but impressive",0,0,0,41,5,9
"361","860","Machinery orders drive Asia upward",0,0,0,52,0,15
"362","861","'Lost's' Fox: 'I'm a liar and a cheat'",20,47,14,0,18,22
"363","862","Russia to strengthen its military muscle",8,0,60,8,14,14
"364","863","At Libby trial, Russert of NBC gives and gets",0,0,12,0,7,7
"365","864","North Korea ready to discuss first steps to nuclear resolution",3,1,38,47,2,14
"366","865","Victim: Gunman bought drink after shooting",18,26,26,0,30,46
"367","866","Ferrer victorious in Spanish duel",2,0,15,70,1,13
"368","867","UK workers on alert for letter bombs",6,4,92,0,18,17
"369","868","Did NASA accidentally kill life on Mars?",22,17,14,0,38,62
"370","869","New vaccine for cervical cancer could prove useful in men, too",0,0,21,49,17,31
"371","870","Search on for victims of subway collapse",3,0,31,3,88,1
"372","871","Human error caused Helios crash",15,4,28,0,74,0
"373","872","US to prod NATO allies for more troops to defeat Taliban",20,15,47,0,21,0
"374","873","Microsoft supports OpenID authentication standard",0,0,0,22,0,6
"375","874","No buyer in sight for Napster",0,0,7,0,25,2
"376","875","Briefly: preloaded iPods, Wal-Mart movies, Apple stores",0,0,0,9,0,2
"377","876","China says rich countries should take lead on global warming",12,14,10,10,20,3
"378","877","North Korea may begin to dismantle nukes",2,0,29,52,2,17
"379","878","Tracking down hi-tech crime",2,12,26,38,13,7
"380","879","Barack Obama formally announces bid for president",0,2,0,21,10,4
"381","880","Kidnappers seize two in Nigeria",28,17,68,0,38,4
"382","881","Indonesia may sell, not give, bird flu virus to scientists",17,20,35,0,29,23
"383","882","Attack video saddens ""friendly fire"" widow",13,11,16,0,80,0
"384","883","Europe retain trophy with big win",0,0,0,75,0,11
"385","884","Cutting edge accessories for digital music players",0,0,0,37,0,17
"386","885","Ice storm descends on central U.S.",3,0,58,10,13,7
"387","886","Snow brings travel misery to England",4,13,27,0,65,4
"388","887","Indonesia flood forces 340,000 from homes",2,0,37,0,89,16
"389","888","Iraqi health minister seized in raid ",24,9,30,15,37,38
"390","889","Ice storm brings chaos in U.S.",6,2,57,0,35,14
"391","890","Stinky flower mystery solved",0,5,0,39,1,19
"392","891","Congressman rebukes U.S. allies for lack of support in Afghanistan ",61,15,4,0,23,0
"393","892","Roddick overcomes Federer in final",0,0,0,29,0,23
"394","893","Prehistoric Romeo and Juliet discovered",0,0,5,53,3,44
"395","894","Donald and Goydos share Sony lead",0,0,0,32,0,5
"396","895","U.S. and Iraqis are wrangling over war plans",32,0,56,0,25,17
"397","896","Sea search for missing Microsoft scientist",0,0,29,0,48,16
"398","897","Iran to Hit US Interests if Attacked",30,7,60,0,17,3
"399","898","Blair: Terror battle will be long",22,0,62,0,34,0
"400","899","Bear cub returned to the wilderness",0,0,3,54,0,12
"401","900","Carrefour sales growth falls short",0,0,7,0,26,10
"402","901","Allied with democrats, Lieberman easily aligns with Republicans",5,16,0,0,17,26
"403","902","In the Rockies, pines die and bears feel it",12,5,22,0,45,16
"404","903","Iran to strike US interests if attacked",38,7,47,0,22,4
"405","904","Nipple covers, other star secrets",7,29,0,2,0,21
"406","905","Apple: no iTunes for you if you have Vista!",8,5,0,0,10,37
"407","906","Smokestacks in a white wilderness divide Iceland",0,0,9,0,34,6
"408","907","That'll cost ya",34,0,16,0,0,2
"409","908","Botched hangings in Iraq speed sectarianism",29,10,50,4,38,6
"410","909","Male sweat raises female hormones",0,14,0,21,0,58
"411","910","7 GOP senators to force debate on troops in Iraq",11,4,8,27,11,13
"412","911","Bangladesh ends curfew amid unrest",19,0,38,43,19,15
"413","912","Italy's dispute with US over Iraq shooting",65,7,13,0,16,19
"414","913","Here come the Globes!",0,0,0,59,0,16
"415","914","Snow causes transport chaos in Britain",5,1,35,0,41,3
"416","915","Snow causes airport closures in Britain",4,0,34,0,43,5
